name,swing precision,swing recall,swing fscore,woba
 Matt Szczur,0.7021276595744681,0.678082191780822,0.6898954703832753,0.242
 Eric Thames,0.7105263157894737,0.6961325966850829,0.7032558139534884,0.33
 Freddy Galvis,0.6254917387883556,0.6789069171648164,0.6511056511056511,0.294
 Salvador Perez,0.565018315018315,0.7301775147928994,0.6370676303562208,0.304
 Logan Forsythe,0.825944170771757,0.5345377258235919,0.6490322580645161,0.274
 Wilmer Flores,0.7002652519893899,0.6700507614213198,0.6848249027237354,0.316
 Jefry Marte,0.688,0.6370370370370371,0.6615384615384615,0.281
 Julio Teheran,0.7684210526315789,0.6293103448275862,0.6919431279620853,0.19
 Ryan LaMarre,0.7282913165266106,0.6860158311345647,0.7065217391304347,0.306
 Avisail Garcia,0.6304347826086957,0.8018433179723502,0.7058823529411765,0.304
 Hernan Perez,0.6393700787401575,0.6373626373626373,0.6383647798742138,0.292
 Carlos Perez,0.6433566433566433,0.6433566433566433,0.6433566433566433,0.175
 Ender Inciarte,0.6862582781456954,0.700168918918919,0.6931438127090302,0.308
 Marcell Ozuna,0.6957295373665481,0.722735674676525,0.7089755213055304,0.327
 Jonathan Villar,0.7035647279549718,0.7218479307025987,0.7125890736342043,0.312
 Rafael Ortega,0.7130801687763713,0.6190476190476191,0.6627450980392157,0.251
 Danny Santana,0.6911764705882353,0.7833333333333333,0.7343749999999999,0.259
 Tomas Telis,0.43333333333333335,0.5416666666666666,0.4814814814814815,0.227
 Jesus Aguilar,0.5913200723327305,0.5967153284671532,0.5940054495912807,0.374
 Tyler Anderson,0.77,0.5968992248062015,0.6724890829694323,0.133
 Jett Bandy,0.63125,0.7426470588235294,0.6824324324324323,0.245
 Tim Beckham,0.7198391420911529,0.6754716981132075,0.6969500324464633,0.288
 Keon Broxton,0.7243589743589743,0.6932515337423313,0.7084639498432602,0.299
 Tyler Chatwood,0.75,0.5909090909090909,0.6610169491525425,0.162
 Brandon Crawford,0.7084775086505191,0.7569316081330869,0.7319034852546916,0.306
 C.J. Cron,0.6295289855072463,0.6956956956956957,0.6609605325725154,0.347
 Anthony DeSclafani,0.7236842105263158,0.6043956043956044,0.6586826347305389,0.153
 Tim Federowicz,0.8131868131868132,0.6166666666666667,0.7014218009478673,0.284
 Isaac Galloway,0.6616541353383458,0.6666666666666666,0.6641509433962265,0.304
 Yan Gomes,0.6619099890230515,0.730909090909091,0.6947004608294931,0.326
 Robbie Grossman,0.7808219178082192,0.6277533039647577,0.695970695970696,0.333
 Josh Harrison,0.6780551905387647,0.7392550143266475,0.7073337902673064,0.285
 Kyle Hendricks,0.7444444444444445,0.47183098591549294,0.5775862068965517,0.085
 Chris Herrmann,0.7289156626506024,0.7245508982035929,0.7267267267267267,0.321
 Aaron Hicks,0.755533199195171,0.6513443191673894,0.6995808104331624,0.36
 John Hicks,0.6525679758308157,0.7741935483870968,0.7081967213114753,0.311
 Kyle Higashioka,0.7338709677419355,0.6842105263157895,0.708171206225681,0.248
 Eric Hosmer,0.680521597392013,0.7070279424216765,0.6935215946843853,0.309
 Caleb Joseph,0.6938405797101449,0.7027522935779816,0.698268003646308,0.251
 Jason Kipnis,0.6865234375,0.6134380453752182,0.647926267281106,0.308
 Mikie Mahtook,0.7286652078774617,0.6294896030245747,0.6754563894523327,0.276
 James McCann,0.6685714285714286,0.6421514818880352,0.6550951847704368,0.256
 Brad Miller,0.6680672268907563,0.6824034334763949,0.6751592356687898,0.312
 Mike Montgomery,0.6666666666666666,0.6506024096385542,0.6585365853658536,0.098
 Anthony Rendon,0.7613132209405501,0.6947368421052632,0.7265029635901777,0.383
 Tanner Roark,0.6571428571428571,0.6160714285714286,0.6359447004608294,0.209
 Marcus Semien,0.7301587301587301,0.6442577030812325,0.6845238095238095,0.307
 Travis Shaw,0.699438202247191,0.6711590296495957,0.6850068775790922,0.351
 JB Shuck,0.6590909090909091,0.5731225296442688,0.613107822410148,0.219
 George Springer III,0.7536101083032491,0.6706827309236948,0.7097322566935828,0.34
 Dee Strange-Gordon,0.659963436928702,0.6909090909090909,0.6750818139317438,0.277
 Christian Vazquez,0.7111111111111111,0.6704761904761904,0.6901960784313727,0.24
 Kolten Wong,0.7120500782472613,0.6182065217391305,0.6618181818181817,0.314
 Didi Gregorius,0.645910780669145,0.7465091299677766,0.6925759840558047,0.35
 Leury Garcia,0.6439114391143912,0.7620087336244541,0.6980000000000001,0.295
 Stephen Strasburg,0.7528089887640449,0.6767676767676768,0.7127659574468085,0.134
 Randal Grichuk,0.6626373626373626,0.7019790454016298,0.6817410966647823,0.34
 Jake Marisnick,0.6772151898734177,0.7312072892938497,0.7031763417305585,0.29
 Max Stassi,0.7707317073170732,0.6515463917525773,0.706145251396648,0.313
 Mike Trout,0.7536687631027253,0.5770465489566613,0.6536363636363636,0.447
 Odubel Herrera,0.606312292358804,0.6912878787878788,0.6460176991150444,0.315
 Albert Almora Jr.,0.6312785388127854,0.7044585987261146,0.6658639373871161,0.305
 Nicky Delmonico,0.7178683385579937,0.731629392971246,0.7246835443037974,0.292
 Tony Wolters,0.7198879551820728,0.6727748691099477,0.6955345060893099,0.261
 Michael Lorenzen,0.5915492957746479,0.7636363636363637,0.6666666666666666,0.432
 Bryce Harper,0.6770516717325228,0.7462311557788944,0.7099601593625499,0.376
 Roberto Perez,0.736231884057971,0.5839080459770115,0.6512820512820513,0.236
 Hyun Jin Ryu,0.819672131147541,0.684931506849315,0.7462686567164178,0.282
 Leonys Martin,0.7364672364672364,0.7580645161290323,0.7471098265895953,0.323
 Jose Abreu,0.6234269119070668,0.649848637739657,0.6363636363636365,0.337
 Ross Stripling,0.6833333333333333,0.5942028985507246,0.6356589147286822,0.08
 Elias Diaz,0.7123287671232876,0.663023679417122,0.6867924528301886,0.34
 Omar Narvaez,0.7741935483870968,0.6306569343065693,0.6950925181013676,0.348
 Willians Astudillo,0.6309523809523809,0.762589928057554,0.6905537459283387,0.379
